"location id","location name",description,lat,lon,icon_color,"icon name"
31465174,Hydrant,Hydrant,34.98649522,-90.00935116,red,Hydrant
31465175,Hydrant,Hydrant,34.98646667,-90.01231758,red,Hydrant
31465176,Hydrant,Hydrant,34.98820552,-90.00710480,red,Hydrant
31465177,Hydrant,Hydrant,34.99093750,-90.00712247,red,Hydrant
31465178,Hydrant,Hydrant,34.97775896,-90.00695250,red,Hydrant
31465179,Hydrant,Hydrant,34.97924444,-90.00637465,red,Hydrant
31465180,Hydrant,Hydrant,34.98059479,-90.00457179,red,Hydrant
31465181,Hydrant,Hydrant,34.98238254,-90.00389168,red,Hydrant
31465182,Hydrant,Hydrant,34.98326784,-90.00340140,red,Hydrant
31465183,Hydrant,Hydrant,34.97914827,-90.01067586,red,Hydrant
31465184,Hydrant,Hydrant,34.97801198,-90.01231710,red,Hydrant
31465185,Hydrant,Hydrant,34.97915628,-90.00905642,red,Hydrant
31465186,Hydrant,Hydrant,34.98030835,-90.00734385,red,Hydrant
31465187,Hydrant,Hydrant,34.98319789,-90.00704026,red,Hydrant
31465188,Hydrant,Hydrant,34.98252186,-90.00930899,red,Hydrant
31465189,Hydrant,Hydrant,34.97833281,-90.00508898,red,Hydrant
31465190,Hydrant,Hydrant,34.97961968,-90.00341218,red,Hydrant
31465191,Hydrant,Hydrant,34.98412139,-90.00616607,red,Hydrant
31465192,Hydrant,Hydrant,34.98013451,-90.01002720,red,Hydrant
31465193,Hydrant,Hydrant,34.98194899,-90.00658114,red,Hydrant
31465194,Hydrant,Hydrant,34.98629610,-90.00703771,red,Hydrant
31465195,Hydrant,Hydrant,34.98883267,-90.00992857,red,Hydrant
31465196,Hydrant,Hydrant,34.98758433,-90.01163506,red,Hydrant
31465197,Hydrant,Hydrant,34.98846705,-90.01229842,red,Hydrant
31465198,Hydrant,Hydrant,34.98963859,-90.01139878,red,Hydrant
31465199,Hydrant,Hydrant,34.98758584,-90.00949660,red,Hydrant
31465200,Hydrant,Hydrant,34.91792412,-89.96896455,red,Hydrant
31465201,Hydrant,Hydrant,34.97234971,-89.95579591,red,Hydrant
31465202,Hydrant,Hydrant,34.97179244,-89.95685586,red,Hydrant
31465203,Hydrant,Hydrant,34.97097340,-89.95611346,red,Hydrant
31465204,Hydrant,Hydrant,34.97024159,-89.95669546,red,Hydrant
31465205,Hydrant,Hydrant,34.97153157,-89.95540737,red,Hydrant
31465206,Hydrant,Hydrant,34.96980303,-89.95733768,red,Hydrant
31465207,Hydrant,Hydrant,34.98280287,-89.95521167,red,Hydrant
31465208,Hydrant,Hydrant,34.98225930,-89.95596735,red,Hydrant
31465209,Hydrant,Hydrant,34.98140394,-89.95520377,red,Hydrant
31465210,Hydrant,Hydrant,34.98070043,-89.95574867,red,Hydrant
31465211,Hydrant,Hydrant,34.98034598,-89.95710002,red,Hydrant
31465212,Hydrant,Hydrant,34.97977619,-89.95796292,red,Hydrant
31465213,Hydrant,Hydrant,34.97855590,-89.95795533,red,Hydrant
